id,nama
1,Kemass ITS
2,BandITS
3,FOKUS ITS
4,BABALITS
5,Kaporits
6,ITS PROBOLINGGO
7,Ikatan Mahasiswa Jakarta
8,IKAMALA ITS
9,JANGKAR PASURUAN
10,ATLAS
11,Forda Baduy
12,Papua
13,PERHIMAK ITS
14,KANDA ITS
15,FORDA SAMARINDA
16,Rumah Rotan
17,IMARAYA
18,IM KALBAR
19,IMAKUSA
20,Keluarga Mahasiswa Kota Batik
21,Keluarga Mahasiswa Klaten di Surabaya
22,Cirebon Kita Ira
23,SOLITS
24,HIMPACT ITS
25,IMPLISIT
26,Saburai Community
27,Forda Madiun
28,Forda Magetan
29,Himasa Jember
30,LAKASI
31,IKAMADIRI
32,IMAGEITS
33,ITS Bersenyum
34,Surabaya Family of Rain City
35,Argabayu
36,IMAGARA
37,Ikemas surabaya
38,ITS Magelang in Community
39,Forkamp
40,Forda Jogja
41,FORMASTA Surabaya
42,Barikade
43,FORDA BLORA
44,LAROS ITS
45,IMBS
46,MBP
47,IMM ITS
48,IKMP
49,Forum Bocah Bojonegoro ITS PENS
50,FORDA Bekasi
51,IMAKA SURABAYA
52,PLAT G
53,IKARSID
54,FORSMAWI ITS
55,Banyumas ITS
56,BENGKEL SAYA
57,Wengker ITS
58,IMAMI Surabaya
59,Bali
60,Lingkup Mahasiswa Sumatera Sel (Fadel)
61,Benefits
62,FormaBaya ITS
63,ForMED
64,FORDA BONTANG
65,IMJ (Ikatan Mahasiswa Jombang)
66,Formas ITS PENS PPNS
67,IMABITS
68,IRITS BTR
69,FKMT
70,Forbonoa
71,Surabaya
