id;dep_id;nama;deskripsi;foto
1;1;Micheline Challenge Design 2016;Honorable Mention Micheline Challenge Design 2016;prestasi.png
2;2;BIMITS;Juara 3 BIMITS competition Kategori Infografis;prestasi.png
3;3;The International Exhibition of professional Artists;Naufan Noordyanto. Berpartisipasi dalam The International Exhibition of professional Artists yang diadakan oleh Korea Communication Design Association (CDAK);prestasi.png
4;3;"""Stop Covid” Exhibition Peru Design Biennal";"Marcello Ryandra. Karya terpilih pada ""Stop Covid” Exhibition Peru Design Biennal";prestasi.png
5;3;GEMASTIK XIV Divisi V Animasi 2021;Juara Harapan 1 GEMASTIK XIV Divisi V Animasi 2021;prestasi.png
6;4;PIMNAS 34 kategori PKM - K;Medali perunggu di PIMNAS 34 kategori PKM - K;prestasi.png
7;4;PIMNAS 34 kategori PKM - K;Medali perak di PIMNAS 34 kategori PKM - K ;prestasi.png
8;4;Advanced Innovation Global Competition (AIGC) 2019;Gold Award dalam ajang Advanced Innovation Global Competition (AIGC) 2019;prestasi.png
9;7;PIMNAS 33;Medali emas poster PIMNAS 33;prestasi.png
10;7;Kontes Robot Indonesia 2020 tingkat nasional;Juara Umum Kontes Robot Indonesia 2020 tingkat nasional;prestasi.png
11;8;International Mathematics Competition for University Students (IMC) 2021;Medali perunggu di International Mathematics Competition for University Students (IMC) 2021;prestasi.png
12;8;GEMASTIK XIV 2021;Medali perak GEMASTIK XIV 2021;prestasi.png
13;9;LKTIN Polinema;Juara 1 LKTIN Polinema;prestasi.png
14;10;Lomba Karya Tulis Ilmiah Nasional Kimia UNESA 2021;Best Presentation pada Lomba Karya Tulis Ilmiah Nasional Kimia UNESA 2021;prestasi.png
15;10;Kompetisi Artikel Ilmiah Nasional 2021;Juara 2 Kompetisi Artikel Ilmiah Nasional 2021;prestasi.png
16;11;PKM-KC PIMNAS 34;Medali Emas PKM-KC PIMNAS 34;prestasi.png
17;12;Diponegoro National Capital Market Competition (Dinamic) 2021;Juara 1 Diponegoro National Capital Market Competition (Dinamic) 2021;prestasi.png
18;12;Lomba Poster Himagara National Competition 2021;Juara 2 Lomba Poster Himagara National Competition 2021;prestasi.png
19;13;Kontes Robot Tematik Indonesia;Juara 3 Kontes Robot Tematik Indonesia;prestasi.png
20;13;Kontes Robot Abu Indonesia;Juara1 dan Strategi Terbaik Kontes Robot Abu Indonesia;prestasi.png
21;13;Kontes Robot Seni Tari Indonesia;Juara 1 Kontes Robot Seni Tari Indonesia;prestasi.png
22;14;Chemical Engineering Paper Competition (CEPTION) 2019;Juara 1 Chemical Engineering Paper Competition (CEPTION) 2019;prestasi.png
23;14;Pimnas 33 tahun 2020 kategori PKM-KC;Medali emas Pimnas 33 tahun 2020 kategori PKM-KC;prestasi.png
24;15;GEMASTIK 2021 Divisi Piranti Cerdas;Juara 3 dalam GEMASTIK 2021 Divisi Piranti Cerdas;prestasi.png
25;15;KRSBI Beroda KRI 2019;Juara 1 KRSBI Beroda KRI 2019;prestasi.png
26;15;KRSBI Beroda KRI 2021;juara 2 di KRSBI Beroda KRI 2021;prestasi.png
27;15;Sebelas Maret International IoT Challenge 2021;Juara 1 dalam Sebelas Maret International IoT Challenge 2021;prestasi.png
28;16;Pengembangan Perangkat Lunak GemasTIK 2020;Juara 1 Pengembangan Perangkat Lunak GemasTIK 2020;prestasi.png
29;16;Hackathon DevCamp 2019 Tokopedia;Juara 1 hackathon DevCamp 2019 Tokopedia;prestasi.png
30;16;Future Ready ASEAN Competition;Juara 1 Future Ready ASEAN Competition;prestasi.png
31;17;GEMASTIK XIV 2021 Keamanan Siber;Medali Emas Keamanan Siber;prestasi.png
32;17;GEMASTIK XIV 2021 Desain Pengalaman Pengguna;Medali Perunggu Desain Pengalaman Pengguna;prestasi.png
33;17;GEMASTIK XIV 2021 Pengembangan Bisnis TIK;Medali Perunggu Pengembangan Bisnis TIK;prestasi.png
34;17;GEMASTIK XIV 2021 Penambangan Data;Juara Harapan Penambangan Data;prestasi.png
35;17;GEMASTIK XIV 2021 Pengembangan Bisnis TIK;Juara Harapan Pengembangan Bisnis TIK;prestasi.png
36;18;GEMASTIK XIV bidang Bidang Smart City 2021;Medali emas GEMASTIK XIV bidang Bidang Smart City 2021;prestasi.png
37;18;GEMASTIK XIV bidang Cyber Security 2021;Medali emas GEMASTIK XIV bidang Cyber Security 2021;prestasi.png
38;19;Kontes Robot Sepak Bola Indonesia;Juara 1 Kontes Robot Sepak Bola Indonesia;prestasi.png
39;19;Kontes Robot Sepak Bola Indonesia Beroda;Juara 2 Kontes Robot Sepak Bola Indonesia Beroda;prestasi.png
40;19;Kontes Robot ABU Indonesia;Juara 1 Kontes Robot ABU Indonesia;prestasi.png
41;20;IISMA 2021 University of Pennsylvania;Taris Farizan Rahman Awardee IISMA 2021 University of Pennsylvania;prestasi.png
42;21;PKM RE PIMNAS XIV;Medali emas kategori presentasi;prestasi.png
43;21;PKM RE PIMNAS XIV;Medali perak kategori poster;prestasi.png
44;21;PKM KC PIMNAS XIV;Medali perak kategori poster PKM KC PIMNAS XIV;prestasi.png
45;21;GEMASTIK 2021 kategori Software Development;Medali perak dalam GEMASTIK 2021 kategori Software Development.;prestasi.png
46;22;PIMNAS XXXIII;Emas pada Kategori Poster;prestasi.png
47;22;Lomba Business Plan SICD 2020 “Bion 4.0”;Juara 2 pada Lomba Business Plan SICD 2020 “Bion 4.0”;prestasi.png
48;23;Teknologi Nano Chitosan;Teknologi Nano Chitosan Bantu Sembuhkan Covid-19 - Yuli Setiyorini, S.T., M.Phil., PhD.Eng.;prestasi.png
49;25;Lomba Karya Tulis Ilmiah Nasional Machine Force 2021;Juara 1 Lomba Karya Tulis Ilmiah Nasional Machine Force 2021;prestasi.png
50;25;ASEAN Innovative Science Environment Entrepreneur Fair (AISEEF) 2021;Medali Emas ASEAN Innovative Science Environment Entrepreneur Fair (AISEEF) 2021;prestasi.png
51;25;Maritime Innovation Challenge MMENE UI 2021;Juara 2 Maritime Innovation Challenge MMENE UI 2021;prestasi.png
52;26;8th International Student Design Competition 2021;Tim NAWASENA juara 2 dalam lomba 8th International Student Design Competition 2021;prestasi.png
53;26;Lopi Pesiar Universitas Hasanuddin;Juara 1 Lopi Pesiar Universitas Hasanuddin;prestasi.png
